Barangay,Municipality,Province,Community type,Communities,Distance from town proper (km),Access method during cutoff,River system
Villar,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Moraza,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Belbel,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Burgos,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Nacolcol,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Palis,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Maguisguis,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Cabatuan,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Owaog Nebloc,Botolan,Zambales,Aeta community,1,27.5,Helicopter airlift,Bucao River system
Malomboy,Botolan,Zambales,Aeta community,1,27.5,Carabao-drawn cart,Bucao River system
Poonbato,Botolan,Zambales,Aeta community,1,27.5,Carabao-drawn cart,Bucao River system
